Region,Nombre,lat,lon,Tipo,Minas Cerca?,Cantidad,Distancia a mina (Km),Densidad poblacional,Tipo de suelo,uso de suelo,Contaminación,Tipo de contaminación
AMAZONAS,Río Utcubamba,-6.022247064,-77.95217782,Río,0,0,,9.464,Natural,,,
AMAZONAS,Río Marañón,-5.664337314,-78.64709438,Río,1,1,6.46,21.193,Natural,,,
AMAZONAS,Río Marañón,-5.063582055,-78.34689557,Río,0,0,,7.479,Forest,,,
AMAZONAS,Río Numpatkay,-4.887792099,-78.53486659,Río,0,0,,7.479,Forest,,,
AMAZONAS,Río Tunduza,-4.628237427,-78.59905932,Río,0,0,,7.479,Forest,,,
AMAZONAS,Río Numpatkay,-4.612750118,-78.47635759,Río,0,0,,2.533,Forest,,,
AMAZONAS,Río Cenepa,-4.552225959,-78.18180197,Río,0,0,,2.533,Natural,,,
AMAZONAS,Río Comaina,-4.420998334,-78.26016977,Río,0,0,,2.533,Natural,,,
AMAZONAS,Río Numpatkay,-4.418381158,-78.40402759,Río,0,0,,2.533,Agricultural,,,
AMAZONAS,Río Achuime,-4.37012473,-78.5238107,Río,0,0,,2.533,Natural,,,
AMAZONAS,Río Comaina,-4.121997111,-78.39613396,Río,1,1,18.81,2.533,Natural,,,
AMAZONAS,Río Cenepa,-3.912954888,-78.2518342,Río,0,0,,2.533,Natural,,,
AMAZONAS,Río Marañón,-4.590397876,-77.91504855,Río,1,1,6.75,5.582,Natural,,,
AMAZONAS,Río Santiago,-3.721243197,-77.76553567,Río,1,1,10.84,2.358,Agricultural,,,
ANCASH,Río Pativilca,-10.51438331,-77.17080317,Río,1,1,3.2,3.894,Agricultural,,,
ANCASH,Quebrada Julquillas,-10.4556038,-77.5429511,Quebrada,1,2,9.94,0.853,Natural,,,
ANCASH,Quebrada Huanchay,-10.39830508,-77.40264799,Quebrada,1,2,13.02,5.278,Natural,,,
ANCASH,Río Pativilca,-10.34120472,-77.15555519,Río,0,0,,12.106,Agricultural,,,
ANCASH,Río Purísima,-10.25704798,-77.48564276,Río,1,1,17.49,10.624,Natural,,,
ANCASH,Río Fortaleza,-10.24968953,-77.5752767,Río,1,1,19.08,6.808,Natural,,,
ANCASH,Río Achín,-10.22745848,-77.03299952,Río,1,2,11.09,3.708,Agricultural,,,
ANCASH,Río Fortaleza,-10.16554709,-77.52886036,Río,1,2,10.52,7.8,Natural,,,
ANCASH,Río Fortaleza,-10.14904827,-77.36663382,Río,1,3,15.73,9.909,Urban,,,
ANCASH,Río Achín,-10.243147,-76.94336203,Río,1,4,12.79,3.708,Urban,,,
ANCASH,Quebrada Shacsha,-10.15802419,-77.24298818,Quebrada,0,0,,20.774,Urban,,,
ANCASH,Río Marca,-10.06747479,-77.47205032,Río,1,3,5.27,11.652,Natural,,,
ANCASH,Río Huarmey,-10.06693544,-78.11058318,Río,1,1,11.18,9.591,Natural,,,
ANCASH,Río Huayllapampa,-10.05966017,-77.53623551,Río,1,3,10.19,4.838,Natural,,,
ANCASH,Quebrada Gargar,-10.05332678,-77.97439579,Quebrada,1,2,14.13,9.591,Natural,,,
ANCASH,Río Pativilca,-10.04526526,-77.12949933,Río,1,7,15.07,4.262,Mining,,,
ANCASH,Río Huarmey,-10.02456013,-78.05020601,Río,1,1,7.49,9.591,Natural,,,
ANCASH,Río Malvas,-10.01987085,-77.67029697,Río,0,0,,8.405,Natural,,,
ANCASH,Río Huarmey,-10.01416924,-77.94500658,Río,1,2,12.63,9.591,Natural,,,
ANCASH,Quebrada Pedregal,-9.953154394,-77.95263087,Quebrada,1,2,13.45,9.591,Natural,,,
ANCASH,Río Santa,-9.944199858,-77.38204422,Río,1,3,12.83,3.891,Agricultural,,,
ANCASH,Río Culebras,-9.894545521,-78.13170104,Río,1,1,9.52,5.437,Natural,,,
ANCASH,Río Aija,-9.87550502,-77.76428238,Río,1,2,19.57,5.903,Natural,,,
